tag_filename,annotation
349.txt,"balcony is situated at north west corner and is placed next to master room. It has the size of  3 feet width and 13 feet length. bath room is located at center of the west side. It is in between the master room and kitchen.   It is the square size room of  7 feet side. common room is located at south east side and ajacent to master room. It is the size of 13 feet length and 8 feet width. Kitchen is located at south west corner and adjacent to living room. It has the size of 14 feet length and 7 feet width. living room is located at south east corner of the plan and is in front of the bathroom and kitchen.  next to master room and adjacent to  kitchen . It has the area of 300 sqrt feet. master room is located at north west side and  in front of the balcony. It is the square size room, that is of 13 feet side. "
32432.txt,Bathroom 1 is at the east and in-between bathroom2 and common room2. The size is 4 feet length and 8 feet width. Bathroom2 is at the east and in-between the bathroom1 and the master room. The size is 4 feet length and 8 feet width. Common room 1 is at the southwest corner and next to the living room. The size is 6 feet length and 8 feet width. This room is at the northeast corner and next to the living room. The size is 5 feet length and 8 feet width. The kitchen is at the northwest corner and next to the living room. The size is 5 feet length and 8 feet width. Living room is at the middle of all the rooms. The size is 32 feet length and 20 feet width. Master room is at the southeast corner and next to the living room. The size is 20 feet length and 12 feet width. Storage room is at the west and next to the common room 1. The size is 3 feet length and 8 feet width. 
69350.txt,Bathroom is located at left side of living room. North and South side lenght is 10 feet. East and west side lenght is 11 feet. Common room is located in South east corner.  North and South side lenght is 12 feet. East and west side lenght is 17 feet. Kitchen 1 is located in north west corner.  North and South side lenght is 10 feet. East and west side lenght is 4 feet. Kitchen  2 is  located in between kitchen  1 and bathroom. North and South side lenght is  10 feet. East and west side lenght is  6 feet. Living Room is located in north east corner. North side lenght is 12 feet. South side lenght is 22 feet. East and west side lenght is 23 feet. Master room is located in South West corner. North and South side lenght is 13 feet. East and west side lenght is 20 feet. 
59293.txt,balcony is situated at south west corner and in front of the living room. It has the size of 12 feet length and 4 feet width. bathroom is located at north side. It is between the common room-2 and kitchen. It has the square size of 7 feet side. common room-1 is located at south west corner. It is opposite to the living room. It has the size of  11 feet width and 16 feet length common room-2 is located at north west corner and adjacent to living room. It has the size of 11 feet width and 13 feet length. kitchen is located at north east corner. It is near the living room and bathroom.  It has the size of 7 feet length and 6 feet width. Living room is occupied the center area of south side  and of the east side. It is between the common room-1 and master room and between the master and kitchen room.  It has the area of  around 380 sqr. feet. master room is located at south east corner and adjacent to living room. It has the size of 12 feet width and 15 feet length. 
20022.txt,The balcony is on the north west corner of house. North of living room. About 15 by 4 The bathroom is centrally located on the eastern wall. North of master and South of common room. About 7 by 7 The common room is on the north eastern corner of house. North of bathroom. About 12 by 14 The kitchen is on the southern wall of house. South of living room and west of master. About 10 by 5 A large living room filling most of the left side to the center of the house. Connecting all the rooms together. About 15 by 20 feet The master room is located in the southeast corner of house. South of the bathroom and east of the kitchen. About 10 by 12 
58827.txt,Balcony is in the south west corner side. It is located next to master room. It is size about 5*12 Bathroom 1 is facing to the west direction . It is located next to the master room. It is size about 8 *8 Bathroom 2 is facing to the east direction. It is located next to the common room. It is size about  8*8 Common room is in the south east corner side. It  is next to the master room. It is size about 12*15 Kitchen is facing to the east direction. It is located next to the bathroom 2.It is size about 10*8 Living room is in the north west corner side .It is next to master room. It is size about 30*20 Master room is located next to the balcony. It is facing west direction. The size of the room is 10*12 
28319.txt,"The balcony is on the south side of the house. To the north is the living room, and house exterior to the east, south, and west. It is about 12 feet wide by 8 feet long. The bathroom is on the west side of the house. To the north is common room 1, to the east is the living room alcove, to the south is the master, and to the west is house exterior. It is about 6 feet wide by 5 feet long. Common room 1 is on the west side of the house. To the northeast is common room 2 and northwest is 6 feet exterior-facing wall. To the east is the living room, to the south are the bathroom and living room alcove, and to the west is house exterior. It is about 13 feet wide by 10 feet long. Common room 2 is on the north side of the house. To the north and west are house exterior and to the east is the kitchen. To the southeast is the living room, and to the southwest is common room 1. It is about 11 feet wide by 10 feet long. The kitchen is on the north side of the house. To the north and east are house exterior, to the south is the living room, and to the west is common room 2. It is about 6 feet wide by 10 feet long. The living room is on the east side of the house. To the east is house exterior and the main entry in the north corner. To the south is the balcony. To the west is the master and common room 1, with an alcove between them that leads to the bathroom. To the north are common room 2 and the kitchen. It is about 12 feet wide by 28 feet long, plus another 4 feet by 5 feet for the alcove. The master is on the west side of the house. To the north are the bathroom and the living room alcove. To the east is the living room, and house exterior to the south and west. It is about 13 by 13 feet. "
30556.txt,"The balcony is the southernmost room in the house and thus touches the southernmost wall. It touches the living room as well and is located South of the living room. The balcony is approximately 20 ft by 3 ft for a total of 60 square ft. The bathroom is located in the North-East corner of the floor plan touching the North most and East most walls. It also touches the living room and is located North and East of the living room. The approximate size of the bathroom is 10 ft in width by 9 ft in length for a total of 90 square ft. The kitchen is located most West of any room in the floor plan and touches the North and West walls of the house. It is West of the living room which is the only other room it touches. The approximate size of the kitchen consists of two parts a square of 10 ft wide by 10 ft in length and a smaller rectangle of 7 ft wide by 10 ft in length for a total of 170 square ft. The living room touches both the East, West, and North side or right, left, and top side of the house respectively. It is located more North than South and fairly center on the East-West line. The living room touches the bathroom, kitchen, and master bedroom, it also has the front door which is North facing. The living room has a main rectangular living space and a wider than usual hallway space. The main living space of the living room is about 20 ft wide by 15 ft in length and the widened hallway to the front door is about 10 ft in width by 7 ft in length. The living room is South and West of the bathroom, West of the kitchen, and North of the master bedroom. The master bedroom is located more South than North sandwiched in between the living room and balcony and touches the East and West sides of the floor plan. It is South of the living room and North of the balcony. The approximate size is 20 ft wide by 15 ft in length. "
79630.txt,"Balcony 1 location:South West corner, Relationship:the location: Next to Living,  Area:50 sqrt feet   Sides: 5 feet width and 10 feet length.. Balcony 2 location:South Side, Relationship:the location: Next to Master ,  Area:50 sqrt feet   Sides: 10 feet width and 5 feet length.. Bathroom 1 location:North East corner, Relationship:the location: Between master and Living,  Area:25 sqrt feet   Sides: 5 feet width and 5 feet length.. Location:North Side, Relationship:the location: Next to Living,  Area:25 sqrt feet   Sides: 5 feet width and 5 feet length.. Comon room location:South Side, Relationship:the location: Next to master,  Area:100 sqrt feet   Sides: 10 feet width and 10 feet length.. Kitchen location:West Side, Relationship:the location: Next to balcony1,living and Com ,  Area:70 sqrt feet   Sides: 7 feet width and 10 feet length.. Living room location:North side, Relationship:the location: relatively between the rooms,  Area:1200 sqrt feet   Sides: 40 feet width and 30 feet length.. Master room location:South East corner, Relationship:the location: Between bath1 and balcony2,  Area:200 sqrt feet   Sides: 10 feet width and 20 feet length.. "
15932.txt,balcony 1 is upper south corner of the image.The absolute location of a room in the floor plan.22 feet width and 8 feet length.The length and width of a room in the floor plan. balcony 2 is down north corner of the image.The absolute location of a room in the floor plan.8 feet width and 4 feet length.The length and width of a room in the floor plan. bathroom is next room of the master room.The relative location of a room with other rooms.8 feet width and 5 feet length.The length and width of a room in the floor plan. common room is down south corner of the image.The absolute location of a room in the floor plan.8 feet width and 8 feet length.The length and width of a room in the floor plan. kitchen room is next room of the living room.The relative location of a room with other rooms.10 feet width and 5 feet length.The length and width of a room in the floor plan. living room is center of the image. The absolute location of a room in the floor plan.15 feet width and 40 feet length.The length and width of a room in the floor plan. master room is next room of the living room.The relative location of a room with other rooms.10 feet width and 10 feet length.The length and width of a room in the floor plan. 
34724.txt,The balcony was locate in the right side of the living room and it's size is 10*2 The bahroom was locate in the middle of the kitchen and commonroom2 and it's size is 8*4 It was locate in the right corner of the living room and it's size is 10*6 It was locate in the left corner in the living room and it's size is 10*8 The kitchen was locate in the left side of the living room and it's size is 8*6 The living room was located in the entrance and it's size is 15*12 The master was locate in the right side of the living room and it's size is 10*10 The storage room was locate in the straight of the entrance and it's size is 4*3 
1804.txt,"Bathroom 1 is located on the east side of the home. It is located between common room 1 and bathroom 2. The approximate size of this room is 8 ft. in width by 8 ft. in length. Bathroom 2 is located on the east side of the home. It is located between the master room and bathroom 1. The approximate size of this room is 8 ft. in width by 8 ft. in length Common room 1 is located on the north east corner of the home. It is located left of bathroom 1 and borders the living room. The approximate size of this room is 15 ft in width by 15 ft. in length. Common room 2 is located on the south end of the home. It is right of the master room and borders the living room. The approximate size is 12 ft in width by 15 ft. in length. The kitchen is located in the north west corner of the home. This room is left of the living room, and is next to no other rooms. The approximate size of this room is 10 ft. in width by 12 ft. in length The living room is located is located on the north side of the home. It borders all other rooms. The approximate size of this room is 20 ft. in width by 30 ft. in length. The master room is located in the south east corner of the home. It is located between bathroom 2 and common room 2. The approximate size of this room is 12 ft. in width by 25 ft.in length. "
74300.txt,balcony at north east corner upside of  master room size 10*3 feet bathroom1 at  east direction upside of kitchen  size 3*3 feet bathroom2 at west direction downside of master room size 3*3 feet common room1 at north east corner upside of living room and bathroom1 size 12*10 feet common room2 at  south east corner right side of living room size 10*5 feet kitchen at east direction downside of bathroom1 size 6*6 feet living room at south west direction left side of kitchen and common room2 size 25*20 feet master room at  north west direction upside of bathroom2 and livining room size 12*10 feet 
14392.txt,The balcony is on the west side of the apartment next to the kitchen. It is 5â x 5â The bathroom is on the north side of the apartment between the kitchen in the master room. It is 12â x 5â The common room is on the southwest corner of the apartment next to the living room. It is 10â x 10â The kitchen is on the north side of the apartment next to the balcony. It is 15â x 5â The living room is on the south side of the apartment next to the master room. It is 30â x 20â The master room is on the east side of the apartment next to the bathroom. It is 12' x 12' 
62204.txt,"Location: Balcony 1 is on the Northern part of the floor plan.
Relationship: It is on the east side of the kitchen.
Size: It is about 4 feet by 8 feet. Location: Balcony_2 is on the East part of the floor plan.
Relationship: It is on the Northern side of the master room and East of the living room.
Size: It is about 5 feet by 14 feet. Location: The bathroom is on the southern part of the floor plan.
Relationship: It is between the common room and the master room just to the south of the living room.
Size: It is about 5 feet by 13 feet. Location: The common room is on the southwest of the living room.
Relationship: It is on the southern side of the living room.
Size: It is 10 feet by 10 feet. Location: The kitchen is on the Northern part of the floor plan.
Relationship: It is on the left side of the balcony_1.
Size: It is about 10 feet by 8 feet. Location: The living room is on the western central part of the floor plan.
Relationship: It is on the Northern side of the common room, the master room and the bathroom.
Size: It is about 600 square feet. Location: The master room is on the South east of the floor plan.
Relationship: The master room is on the southern side of the balcony _2 and the living room.
Size: It is about 16 feet by 18 feet. "
38888.txt,balcony 1 is northeast corner side.it is 2 feet length and 10 feet width aspect ratio as 1 over 4. Balcony 2  is entrance from living room .it is 15 feet length and 2 feet width aspect ratio as 4 over 2. bathroom between the room as kitchen and master room.it is 5 feet length and 5 feet width aspect ratio as 2 over 2. Common room 1 is entrance from living room .it is 15 feet length and 15 feet width aspect ratio as 5 over 5. it is northwest corner room. Common room 2 is entrance from living room .it is 12 feet length and 12 feet width aspect ratio as 4 over 4. common room 2 in front room as kitchen. kitchen is entrance from living room .it is 12 feet length and 5 feet width aspect ratio as 6 over 3. living room is entrance from north side.it  is 15 feet length and 30 feet width aspect ratio as 5 over 8.it is the big place compared to other rooms . Master room is entrance from living room .it is 15 feet length and 15 feet width aspect ratio as 5 over 5.it is southeast corner room. 
65543.txt,balcony 1at south west corner  left side of master room size 12*12 feet balcony2 at north direction upside of living room size 15*6 feet bathroom at west direction upside of common room size 5*3 feet common room at west direction left side of living room size 12*15 feet kitchen at north west corner upside of bathroom size 10*10 feet living room at east direction upside of master room size 15*12 feet master room at south direction right side of balcony1 size 12*12 feet 
77621.txt,The balconies on the south west corner of the apartment next to the second common room and it measures 3â x 10â The bathroom is on the north side of the apartment next to the living room and it measures 5â x 5â The first common room is on the north east corner of the apartment next to the kitchen and it measures 10â x 10â The second common room is on the south side apartment next to the balcony and it measures 10â x 10â The kitchen is on the southeast corner of the apartment next to the first common room and it measures 10â x 10â The living room is in the center of the apartment next to the kitchen and it measures 20â x 20â The master bedroom is on the northwest corner of the apartment next to the second common room and it measures 15â x 15' 
37211.txt,"The balcony is on the north west wall, next to the living room. The size is approximately 21 feet in length and 4 feet in width. Bathroom 1 is located on the west wall, north of common room 2. The size is approximately 13 feet in length and 5 feet in width. Bathroom 2 is located on the east wall, en suite to the master bedroom. The size is approximately 5 feet in length and 8 feet in width. Common room 1 is located on the east wall, next to the living room. The size is approximately 6 feet in length and 10 feet in width. Common room 2 is located in the south west corner, next to the master bedroom. The size is approximately 12 feet in length and 11 feet in width. The kitchen is located in the north west corner, next to the living room. The size is approximately 12 feet in length and 8 feet in width. The living room is located in the north east corner, next to the balcony. The size is approximately 25 feet in length and 20 feet in width. The master bedroom is located in the south east corner, next to common room 2. The size is approximately 14 feet in length and 12 feet in width. "
41387.txt,Balcony 1 is at the North middle position. Between common room kitchen. it is 10x6 sq ft. Balcony 2 is at the South and east corner position. Near living room. it is 10x6 sq ft. The bathroom is at the West middle position bathroom. Between common room and master room. it is 10x6 sq ft. The common room is at the North and west corner position. Between  bathroom and balcony1. it is 10x10 sq ft. The kitchen is at the North and east corner position in Between of the balcony 1 and living room. it is 10x8 sq ft. This living room is east and south  center position in between all rooms it is east facing. it is 10x16 sq ft. The master room is at the West and south corner position. between living room and  bathroom. it is 10x16 sq ft. 
1838.txt,The balcony is in the south east side of the apartment next to the master bedroom. It is 15 ft x 5 ft. The bathroom is in the north east side of the apartment next to the living room. It is 5 ft x 7 ft. The common room is in the south west side of the apartment next to the master room. It is 15 ft x 12 ft. The living room is in the north side of the apartment next to the bathroom. It is 25 ft x 30 ft. The master bedroom is in the south east side of the apartment next to the common room . It is 15 ft x 15 ft. 
44599.txt,"Balcony location:South Side, Relationship:the location: Next to living,  Area:50 sqrt feet   Sides: 10 feet width and 5 feet length.. Bathroom location:North Side, Relationship:the location: Next to  living,  Area:50 sqrt feet   Sides: 5 feet width and 10 feet length.. Comon room 1 location:East side , Relationship:the location: next to living,  Area:25 sqrt feet   Sides: 5 feet width and 5 feet length.. Comon room 2 location:South Side, Relationship:the location: Next to balcony and Living,  Area:100 sqrt feet   Sides: 10 feet width and 10 feet length.. Location North  SIde, Relationship:the location: Next to Living and Bath,  Area:200 sqrt feet   Sides: 20 feet width and 10 feet length.. Living room location: West side, Relationship:the location: Between Kitichen and Balcony,  Area:450 sqrt feet   Sides: 15 feet width and 30 feet length. "
38644.txt,Balcony is located on south west corner of the house. Access from master bed room. approximately 40-60 sqft in size. Bathroom is centrally located on east side of the house. Approximately 40-60 sqft in size. Located next to common room two and living room. Common room one is located south side middle between master bed room and common bed room two. Approximately 100-120 sqft in size. Common room two is located on south east corner of the house. Approximately 80-100 sqft in size.Located next to common room one. Kitchen is located north west corner of the house. located next to living room. Approximately 80-100 sqft in size. Living room is located on north side from east to west side. Approximately 200-240 sqft in size. Access to all rooms on south side. Master bed room is located south west corner of the house. Located next to common room one. Approximately 120-140 sqft in size. 
29991.txt,balcony is in the bottom side of the living room. it is in the south side. the size is 16 feet x 4 feet. bathroom 1 is on the top side of the master room. it is in between master room and common room. the size 7 feet x 5 feet. it is in the master room and located in the north east corner of the room. the size is 8 feet x 6 feet. common room 1 is in the north east and top side of the bathroom 1. the size is 15 feet x 15 feet. common room is on the left side of the living room. it is positioned on the south west side. the size of the room is 10 feet x 16 feet. kitchen is on the top side of the living at the north east corner. the size is 10 feet x 10feet living room is at the center and its size is 16 feet x 34 feet. master room is on the right side of the living room. the size is 20 feet x 20 feet. 
57268.txt,"balcony: The balcony is at the southwest corner with the master to the north. It spans the width of the master room which sits to its north. It is approximately 12 feet wide by 8 feet deep. bathroom: The bathroom occupies a northeast corner of a jut out from the living room. It has the kitchen to the west and is approximately 5 feet wide by 10 feet deep. common room: The common room is at the southeast corner, with the living room to the north. the master room to the west. It is approximately 12 feet wide by 18 feet deep. kitchen: The kitchen occupies a northwest corner of a jut out from the living room. It has the bathroom to the east and is approximately 5 feet wide by 10 feet deep. living room: The living room spans from the east exterior wall to the west exterior wall, with the kitchen and bath centered at the northern side, and the master and common room at the south. It is approximately 25 feet wide by 18 feet deep. master room: The master room is on the west side, with the living room to the north, the common room to the east and the balcony to the south. It is approximately 12 feet wide by 18 feet deep. "
51619.txt,balcony at south west corner left side of master room size 10*3 feet bathroom  at west direction upside of master room size 5*5 feet common room1 at north west direction left side of living room size 12*10 feet commom room 2 at west direction downside of kitchen size 12*12 feet kitchen at west direction upside of common room2 size 10*5 feet livng room at north east direction upside of master room and bath room size 22*20 feet master room at south east direction right side of  balcony size 12*10 feet 
52310.txt,"balcony 1 at north west direction upside of living room  size 12*3 feet balcony 2 at south direction downside of living room size 10*2 feet bathroom 1 at north direction left side of master room  size 8*4 feet bathroom2 at south direction left size of  common room 2 size 6*6 feet common room 1 at north direction left side of  bathroom 1 upside of living room size 10*10 feet common room2  at south east direction  right side of bathroom2  downside of master room size 12*10 feet living room at west direction downside of balcony 2 ,upside of balcony 1 size 20*20 feet master room at east north direction upside of common room 2 size 15*10 feet "
50275.txt,"balcony 1 is in east side of the house, next to living room, size is 70 sqft. balcony 2 is in north west corner of the house, next to common room 1 and common room 2, size is 30 sqft. bathroom is in east side of the house, inbetween common room 2 and kitchen, size is 25 sqft. common room 1 is in north east corner of the house, next to living room, balcony and common room 2, size is 140 sqft. common room 2 is in north west corner of the house, inbetween bathroom, balcony 2 and common room 1, size is 100 sqft. kitchen is in west side of the house, inbetween bathroom and master room, size is 60 sqft. living room is in south east corner of the house, next to balcony, master room, kitchen and common room 1, size is 420 sqft. master room is in south west side of the house, next to kitchen, living room, size is 200 sqft. "
43209.txt,"Balcony is in the south of house.it has living room in north.it's dimensions are 5 feet in length and 10 feet in breadth. Bathroom is in the west side.it has common room 2 in north,common room 1 in south and living room in east.it's dimensions are 5 feet in length and 8 feet in breadth. Common room 1 is in the west center side.it has bathroom in north,master in south and living in east.it's dimensions are 6 feet in length and 10 feet in breadth. Common room 2 is in the north west corner.it has bathroom and living room in south and kitchen in east.it's dimensions are 10 feet in length and breadth. kitchen is in the north side of house.it has common room 2 in west and living in south.it's dimensions are 8 feet in length and 5 feet in breadth. The living room is in the east side of the house.it has kitchen in north,balcony in south,common room 2,bathroom,common room1 ans master room in west side.it's dimensions are 30 feet in length and 13 breadth in average. Master room is in the south west corner of house.it has common room in north and living room in east.it's dimensions are 15 feet in length and 10 feet in breadth. "
19675.txt,"Bath one offers a nice guest bathroom off of the main entrance. Bathroom two offers a great private bath attached to the master bedroom. Common room is about 5ft wide located on the northern side of the floorplan, great location off to the side of the kitchen. The second common room is also about 5ft and is located on the southern end near the master bedroom. The kitchen may be a bit small, but the floorplan offers such an open concept that it will feel much larger. It may only be about 10ft long and roughly 6ft in width. The living room offers a great layout and grand entrance for the floorplan offering about 20 by 15 space. The master is located off to the right of the entrance, offering a private bath and plenty of space at about 15ft in length. There is not much storage located with this plan. "
38863.txt,balcony is entrance from living room .it is 15 feet length and 3 feet width aspect ratio as 6 over 1. bathroom is between room as kitchen and master room.Bathroom  is entrance from living room .it is 2 feet length and 3 feet width aspect ratio as 1 over 1. Common room 1 is entrance from living room .it is 12 feet length and 15 feet width aspect ratio as 4 over  5..it is northeast corner room. Common room 2 is entrance from living room .it is 8 feet length and 12 feet width aspect ratio as 4 over  5. kitchen is entrance from living room .it is 15 feet length and 2 feet width aspect ratio as 5 over 1.it is northwest corner room. living room is entrance from north side . it is 15 feet length and 30 feet width aspect ratio as  4 over  8.living room around all other room. it is the big place compared to other rooms. Master room is entrance from living room .it is 15 feet length and 15 feet width aspect ratio as 5 over 5 .it is southwest corner room.master room in front room as bathroom. 
56162.txt,"The balcony is near the southwest corner of the home, directly to the south of the kitchen.  It borders the west wall.  It is about 2 feet by 3 feet, with a square footage of about 6 ft.  It has an aspect ratio of about 2:3. The bathroom is also near the northwest corner of the home.  It is to your right as you enter the door.  It is approximately 5 ft by 5 ft, with a square footage of approximately 25.  It has an aspect ratio of about 2:1.  It is to the south of the kitchen and also enters to the living room. The common room is in the south central area of the home.  It is to the west of the master bedroom and south and east of parts of the living room.  It is approximately 10 ft by 10 ft, with a square footage of 100 ft.  It has an aspect ratio of about 1:1.  It is square in shape and has an entrance to the living room. The kitchen is in the northwest corner of the home.  It has doorways leading to the living room, and the balcony and bathroom.  It is about 2 feet by 10 feet, with a 20 square foot area.  It has an aspect ratio of about 1:5.  It is directly to your right as you enter the front door. The living room spans from the northeast corner of the home to the southwest corner.  It splits the home into two, with the master bedroom and common room in the southeast corner, and the kitchen, balcony, and bathroom in the northwest corner.  It is oddly shaped and almost diagonal in shape.  It is approximately 10 ft by 20 ft in the southwest corner, and 20 ft by 10 ft in the northwest corner, with oblong shapes and hallways leading to each of the other rooms.  I would estimate the square footage of approximately 350.  It has an odd aspect ratio of approximately 3:4. The master bedroom is in the southeast corner of the home.  It is about 10 feet by 10 feet in width and length with a square footage of approximately 100 feet.  It has a doorway leading to the living room and the community room.  It has an aspect ratio of about 1:1. "
75793.txt,balcony is located in south east corner position. With in master room. Room size is 12 x4 sq ft. Bathroom is located in north east corner side position. In between of master room and living room. Size is 8x6 sq ft. The common room is at the Corner site of the south and east. Related to master room and living room. size is 14x14 sq ft . The kitchen is located in north east corner side. Near  to living room. Size is 10x8 sq ft. North facing living room is located in middle of the north side position. Center of the all over rooms without balcony. Room size is 20x20 sq ft. Master room is located in middle east side. In between of the bath room and balcony. Room size is 14x14 sq ft. 
53032.txt,Balcony 1 is set in the front entrance area of the house and is to the left side of the living room attached partially to common room 1 and bathroom number 2.Balcony 1 is approximately 5 feet in width and 5 feet in length. Balcony 2 is located in the back end of the living room and is significantly larger than Balcony 1 shown on this floor plan. size is approximately 12 feet in width and 10 feet in length. Bathroom 1 is attached to the Master bedroom which makes it the master bathroom. I is approximately 5 feet in width and 10 feet in length. It is also attached to common room 2 to the right of it. Bathroom 2 is attached to the first balcony in the front of the house as well as the living room and hallway.Looks to be about the same size as Bathroom 1 in the master bedroom. 5 feet in width and 10 feet in length. The common room 1 is located next to the living room and master bedroom. It is about 10 feet in width and 10 feet in length with what looks to be a small closet or design placed between the common room 1 and Master bedroom. The common room 2 is adjacent to the bathroom 1 and bathroom 2 as well as master bedroom and attached to the hall. Its size is 10 feet in width and 10 feet in length. The living room is 10 feet width and 30 feet in length. It has a hall to the left while looking on the diagram of the floor plan. The hall leads you to all the other adjacent rooms. The living room in a rather large space that also has the front entrance in the far right of the room. The master bedroom is the second largest space in this house here the floor plan shows the master bedroom is adjacent to bathroom 1 common room 2 and common room 1 as well. The size of the master bedroom is is 10 feet width and approximately 15 feet in length. 
67397.txt,"THE BALCONY IS LOCATED NORTH EAST CORNER.THE BALCONY IS LOCATED NEAR BY COMMON ROOM 2.THE FLOOR AREA IS 60 SQUARE FEET. BATHROOM 1 IS LOCATED ON WEST SIDE.BATHROOM 1 IS LOCATED IN BETWEEN MASTER ROOM AND COMMON ROOM 1. THE FLOOR AREA IS 49 SQUARE FEET. #REF! COMMON ROOM 1 IS LOCATED ON NORTH WEST CORNER,COMMON ROOM 1 IS LOCATED NEARBY BATH ROOM 2.THE FLOOR AREA IS 200 SQUARE FEET. COMMON ROOM 2 IS LOCATED ON SOUTH SIDE.IT IS LOCATE IN BETWEEN MASTER ROOM AND BALCONY.THE FLOOR AREA IS 150 SQUARE FEET. THE KITCHEN IS LOCATED ON NORTH EAT CORNER.THE KITCHEN IS LOCATED NEARBY BATHROOM 2.THE FLOOR AREA IS 80 SQUARE FEET. THE LIVING ROOM IS LOCATED ON EAST SIDE.THE LIVING ROOM IS LOCATED NEARBY COMMON ROOM 2.THE FLOOR AREA IS 400 SQUARE FEET. THE MASTER ROOM IS LOCATED ON SOUTH WEST CORNER.THE MASTER ROOM IS LOCATED NEARBY COMMON ROOM 2. THE FLOOR AREA IS 225 SQUARE FEET. "
36866.txt,"The balcony is located in the north east corner, It is next to living room, The size of the room is 7  feet width  and 7  feet length The bathroom is located in the west side, It is next to common 1 and living , The size of the room is 4 feet width  and  6 feet length Common room 1 is located in the south west corner, It is next to living and bath , The size of the room is 10  feet width  and 10  feet length Common room 2 is located in the west side, It is next to living and master , The size of the room is 10  feet width  and 10  feet length The kitchen is located in the southeast corner, It is next to living and next to bath , The size of the room is 6 feet width  and 7  feet length The living room is located in the east side, It is in front of all other rooms, The size of the room is 10 feet  width  and 16  feet length The master room is located in the west side, It is next to living and common 2 , The size of the room is 10  feet width  and 11  feet length "
73484.txt,"The bathroom is located on the north,it is between kitchen ,dining and common,The size of the room is 3 feet width  and 6  feet length The common room is located on the north west corner,its next to living and near to dining,The size of the room is  9 feet width  and  15 feet length The dining room is located in the east,it s next to living and near to common ,bath,and kitchen,The size of the room is 11 feet width  and 12  feet length The kitchen is located on the northeast corner,it is next to dining and near bath,The size of the room is  5 feet width  and  8 feet length The living room is located on the south and it lies from southwest to southeast,it is in front of dining and common ,The size of the room is 10 feet width  and 20  feet length "
7246.txt,"The balcony is in the North East corner of the floor plan. To its south is the kitchen and to its west is the living room. It is 10ft wide by 8 ft long The bathroom is on the western edge of the floor map. It shares a wall with the living room to its east, master bedroom to the north and the common room to the south . It is 10ft long by 10 ft wide. Common room is in the North West corner of the floor plan. Sharing a wall with the living room to the east and south and sharing a wall with the bathroom to the south. It is 12 ft wide by 18 ft long The kitchen is on the Eastern edge of the floor map. To its north is the balcony and to its west is the living room. It is 8ft wide by 12 ft long The living room room is central in the floor plan with a South and North facing wall. The living room is sharing a wall with every other room in the plan. It is 15ft wide by 20 ft long. Master bedroom is in the south west corner of the floor plan. It shares a wall with the living room to its north east and bathroom to its north . It is 12ft wide by 18 ft ft long. "
17102.txt,"balcony is located at north east corner. It is next to living room. It has the size of 10 feet length and 4.5 feet width. Bathroom is located at south east corner. It is in front of kitchen room.  It has the rectangular size of 12 feet length and 5 feet width. common room is located at south west corner. It is below the master room. It has the square size of 12 feet side. kitchen is located at south east side. It is towards north side of the bath room and adjacent to living room. It has the size of 12 feet length and 5 feet width. Living room is occupied at the center of south side that is between the common room and kitchen ,bath room. It is also occupied the rectangular area which is adjacent to master room and front of the balcony. It has the area of  around 330 sqr. feet. master room is located at north west corner and adjacent to living room. It has the size of 20 feet length and 12 feet width. "
70827.txt,"The balcony is on the south side of the house. To the north is the living room, and house exterior to the east, south, and west. It is about 18 feet wide by 3 feet long. The bath is on the north side of the house. To the north is house exterior, to the east is the kitchen, to the south is the dining room, and to the west is the master. It is about 7 feet wide by 8 feet long. The common room is on the east side of the house. To the north is the dining room, to the west is the living room, and house exterior to the east and south. It is about 13 feet wide by 16 feet long. The dining room is on the north side of the house. To the north are the bath and kitchen, to the east is house exterior, and the common room to the south. The living room is to the west. It is about 13 feet wide by 9 feet long. The kitchen is on the north side of the house. To the north and east are house exterior, to the south is the dining room, and the bath to the west. It is about 5 feet wide by 8 feet long. The living room is on the west side of the house. To the north is the master, to the east are the dining room and common room, to the south is the balcony, and house exterior to the west. It is about 18 feet wide by 30 feet long. The master is on the north side of the house. To the north and west are house exterior. To the east is the bath and north of that is another 3 feet exterior-facing wall. To the south is the living room. It is about 18 feet wide by 12 feet long. "
638.txt,"balcony is in south side of the house, next to living room, the size is 72 sqft. bathroom is in north west corner of the house, next to living room and kitchen, the size is 54 sqft. common room is in east side of the house, next to living room and master room, the size is 168 sqft. kitchen is in north west side of the house, next to living room and bathroom, the size is 60 sqft. living room is in centre of the house, next to all spaces, the size is 354 sqft. master room is in south east corner of the house, next to common room and living room, the size is 144 sqft. "
